last_name, first_name,player_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff
Keller, Brad,641745,2018,583,435,.252,.254,-.002,.335,.361,-.026,.290,.304,-.014
Hammel, Jason,434628,2018,583,448,.315,.302,.013,.505,.511,-.006,.368,.366,.002
Gray, Sonny,543243,2018,582,394,.270,.252,.018,.419,.383,.036,.336,.321,.015
Chen, Wei-Yin,612672,2018,572,412,.256,.229,.027,.432,.376,.056,.318,.290,.028
Fulmer, Michael,605242,2018,558,397,.254,.265,-.011,.437,.435,.002,.327,.333,-.006
Zimmermann, Jordan,519455,2018,556,417,.269,.258,.011,.497,.471,.026,.338,.328,.010
Rodriguez, Eduardo,593958,2018,553,358,.238,.231,.007,.377,.388,-.011,.298,.300,-.002
Sanchez, Anibal,434671,2018,553,372,.213,.212,.001,.354,.343,.011,.277,.274,.003
Bumgarner, Madison,518516,2018,551,394,.238,.249,-.011,.390,.427,-.037,.300,.321,-.021
Gaviglio, Sam,543208,2018,548,401,.281,.276,.005,.470,.444,.026,.344,.335,.009
Eflin, Zach,621107,2018,548,385,.261,.241,.020,.433,.388,.045,.318,.296,.022
Lucchesi, Joey,664192,2018,548,355,.254,.243,.011,.450,.430,.020,.328,.319,.009
Hill, Rich,448179,2018,547,348,.219,.232,-.013,.400,.410,-.010,.297,.307,-.010
Richards, Trevor,670950,2018,547,358,.253,.248,.005,.422,.410,.012,.324,.321,.003
Strasburg, Stephen,544931,2018,544,342,.240,.233,.007,.409,.401,.008,.306,.306,.000
Buehler, Walker,621111,2018,541,347,.193,.206,-.013,.300,.311,-.011,.247,.259,-.012
Covey, Dylan,592229,2018,541,397,.269,.266,.003,.394,.416,-.022,.320,.329,-.009
Barria, Jaime,642545,2018,537,385,.242,.249,-.007,.402,.429,-.027,.315,.328,-.013
Montgomery, Mike,543557,2018,534,402,.272,.277,-.005,.391,.409,-.018,.315,.325,-.010
Skaggs, Tyler,572140,2018,533,359,.262,.245,.017,.413,.388,.025,.320,.305,.015
Maeda, Kenta,628317,2018,532,331,.240,.224,.016,.399,.362,.037,.304,.286,.018
McCullers Jr., Lance,621121,2018,527,328,.215,.222,-.007,.355,.363,-.008,.289,.300,-.011
