last_name, first_name,player_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff
Buttrey, Ty,621142,2018,70,45,.238,.277,-.039,.302,.397,-.095,.263,.318,-.055
Sherfy, Jimmie,642073,2018,69,40,.145,.186,-.041,.200,.267,-.067,.233,.286,-.053
Turnbull, Spencer,605513,2018,69,50,.262,.255,.007,.354,.422,-.068,.289,.310,-.021
Suarez, Ranger,624133,2018,69,52,.339,.289,.050,.548,.472,.076,.400,.354,.046
Ross, Joe,605452,2018,68,55,.274,.247,.027,.532,.458,.074,.370,.334,.036
Kopech, Michael,656629,2018,68,46,.328,.319,.009,.607,.612,-.005,.427,.427,.000
Baez, Sandy,622783,2018,66,45,.222,.265,-.043,.389,.452,-.063,.322,.366,-.044
Lucas, Josh,572998,2018,66,42,.286,.231,.055,.429,.337,.092,.364,.312,.052
Law, Derek,571882,2018,66,45,.286,.206,.080,.482,.332,.150,.370,.290,.080
Gonzalez, Miguel,456068,2018,66,55,.400,.342,.058,.783,.626,.157,.513,.437,.076
Oaks, Trevor,656805,2018,65,49,.375,.382,-.007,.536,.599,-.063,.406,.441,-.035
Morris, Akeel,592570,2018,65,50,.316,.291,.025,.579,.502,.077,.415,.382,.033
Barlow, Scott,605130,2018,65,47,.258,.265,-.007,.387,.456,-.069,.295,.324,-.029
Smith, Carson,605476,2018,64,40,.241,.223,.018,.431,.348,.083,.321,.286,.035
Stephenson, Robert,596112,2018,63,40,.340,.295,.045,.580,.517,.063,.428,.390,.038
Hale, David,571735,2018,62,48,.286,.297,-.011,.536,.485,.051,.380,.364,.016
Wendelken, J.B.,605525,2018,62,43,.140,.186,-.046,.228,.273,-.045,.200,.239,-.039
Bass, Anthony,542914,2018,62,45,.305,.302,.003,.390,.384,.006,.319,.317,.002
Osich, Josh,592612,2018,61,42,.385,.302,.083,.577,.480,.097,.453,.388,.065
Romero, Enny,544836,2018,61,44,.442,.336,.106,.788,.579,.209,.514,.400,.114
Slegers, Aaron,642083,2018,60,51,.298,.333,-.035,.544,.646,-.102,.372,.426,-.054
Almonte, Yency,622075,2018,60,42,.273,.231,.042,.418,.380,.038,.316,.283,.033
Newberry, Jake,623470,2018,60,40,.255,.311,-.056,.490,.516,-.026,.370,.402,-.032
Houser, Adrian,605288,2018,59,43,.255,.247,.008,.373,.357,.016,.325,.317,.008
Phillips, Evan,623465,2018,59,40,.271,.247,.024,.667,.516,.151,.445,.389,.056
Anderson, Drew,623454,2018,59,44,.309,.276,.033,.436,.463,-.027,.345,.341,.004
Walden, Marcus,519393,2018,59,41,.255,.262,-.007,.364,.379,-.015,.293,.303,-.010
Goody, Nick,580792,2018,58,40,.288,.281,.007,.654,.583,.071,.418,.395,.023
Sobotka, Chad,656977,2018,58,28,.104,.196,-.092,.250,.400,-.150,.216,.306,-.090
Logan, Boone,457429,2018,58,33,.326,.257,.069,.609,.515,.094,.438,.379,.059
Venditte, Pat,519381,2018,57,43,.212,.212,.000,.327,.300,.027,.263,.256,.007
Kinley, Tyler,641755,2018,57,35,.313,.275,.038,.521,.452,.069,.397,.359,.038
Gregerson, Luke,502381,2018,57,39,.275,.271,.004,.490,.367,.123,.361,.318,.043
Bergman, Christian,548357,2018,57,47,.231,.314,-.083,.519,.699,-.180,.327,.436,-.109
Armstrong, Shawn,542888,2018,57,36,.184,.222,-.038,.306,.356,-.050,.245,.285,-.040
Rzepczynski, Marc,519240,2018,57,36,.340,.325,.015,.574,.496,.078,.432,.406,.026
Banda, Anthony,607455,2018,56,43,.235,.273,-.038,.392,.423,-.031,.283,.318,-.035
Gagnon, Drew,543193,2018,56,41,.319,.302,.017,.447,.474,-.027,.378,.378,.000
Anderson, Tanner,664196,2018,56,41,.333,.305,.028,.467,.424,.043,.391,.363,.028
Rogers, Josh,642028,2018,56,45,.340,.304,.036,.560,.527,.033,.401,.376,.025
Walker, Taijuan,592836,2018,56,42,.294,.306,-.012,.392,.524,-.132,.331,.383,-.052
Voth, Austin,608723,2018,55,38,.255,.242,.013,.447,.380,.067,.336,.316,.020
Norwood, James,656803,2018,54,39,.298,.258,.040,.362,.388,-.026,.312,.303,.009
Liberatore, Adam,571893,2018,54,33,.227,.233,-.006,.364,.335,.029,.326,.320,.006
Bard, Luke,572703,2018,53,32,.222,.239,-.017,.489,.557,-.068,.352,.384,-.032
Guilmet, Preston,543258,2018,52,40,.391,.384,.007,.957,.754,.203,.555,.484,.071
Delgado, Randall,517414,2018,51,40,.244,.230,.014,.467,.406,.061,.332,.304,.028
Lamb, John,543424,2018,50,35,.326,.297,.029,.717,.553,.164,.451,.379,.072
Hu, Chih-Wei,629496,2018,50,35,.149,.231,-.082,.298,.421,-.123,.218,.299,-.081
